Timestamp,SPY Opening Price,QQQ Opening Price,VXX Opening Price,DIA Opening Price,SPY Closing Price,QQQ Closing Price,VXX Closing Price,DIA Closing Price,SPY 5D Avg Volume,SPY 3D Avg Volume,SPY 1D Avg Volume,QQQ 5D Avg Volume,QQQ 3D Avg Volume,QQQ 1D Avg Volume,VXX 5D Avg Volume,VXX 3D Avg Volume,VXX 1D Avg Volume,DIA 5D Avg Volume,DIA 3D Avg Volume,DIA 1D Avg Volume,SPY 5D Stock Change,SPY 3D Stock Change,SPY 1D Stock Change,QQQ 5D Stock Change,QQQ 3D Stock Change,QQQ 1D Stock Change,VXX 5D Stock Change,VXX 3D Stock Change,VXX 1D Stock Change,DIA 5D Stock Change,DIA 3D Stock Change,DIA 1D Stock Change,SPY Strike,SPY Open CC,SPY Close CC
2022-01-03,477.26,399.85,72.56,364.79,477.38,401.68,71.76,365.24,55624228.0,58112645.333333336,55624228.0,31330253.2,30238944.333333332,31330253.2,6327672.95,5758500.166666667,6327672.95,2933428.0,3003072.0,2933428.0,0.01,-0.0,0,-0.0,-0.01,0,-0.08,-0.04,0,0.01,0.0,0,478,-1.0,-1.0
2022-01-04,479.11,402.13,71.04,367.08,477.17,394.87,71.48,368.26,58796150.8,68792832.0,58464895.5,32874443.0,37591894.0,32865486.666666668,6922712.65,7745912.5,6881272.791666667,3538292.8,4378957.0,3381878.8333333335,-0.0,0.0,0,-0.01,0.0,0,-0.08,-0.04,0,0.0,0.0,0,480,-1.0,-1.0
2022-01-05,477.09,394.92,71.88,367.94,471.11,386.94,74.9,365.38,63615369.4,69552114.0,60265721.571428575,37851418.6,44394131.333333336,36455932.28571428,7453774.5,8611975.0,7375962.392857143,4019108.2,4740035.333333333,3679066.4285714286,0.0,0.0,0,-0.02,-0.01,0,-0.07,-0.04,0,0.0,0.0,0,478,-1.0,-1.0
2022-01-06,468.35,382.37,77.08,364.96,468.99,385.0,76.48,362.84,73696064.6,82744617.0,65794373.875,46531251.2,58062635.666666664,41354896.625,10117422.15,13186371.0,8899684.71875,4944270.6,6241446.333333333,4173934.875,-0.01,-0.01,0,-0.04,-0.03,0,0.01,0.03,0,0.0,0.0,0,469,-1.0,-1.0
2022-01-07,466.42,381.16,77.6,361.7,467.11,380.5707,75.48,363.34,79929956.4,87354706.0,68094832.33333333,55887273.0,68084192.33333333,44605055.222222224,12344024.8,15409433.0,9723992.861111112,5775590.4,6706679.333333333,4490145.666666667,-0.01,-0.02,0,-0.04,-0.04,0,0.02,0.08,0,0.0,-0.01,0,467,-1.0,-1.0
2022-01-10,462.98,375.19,77.88,361.26,462.94,376.91,76.92,359.59,83968788.8,92035011.0,69796508.4,63482079.0,72956711.66666667,47406166.1,13791067.45,16320655.083333334,10059370.2,6310090.4,6821375.666666667,4621759.2,-0.02,-0.02,0,-0.05,-0.04,0,0.04,0.05,0,-0.0,-0.01,0,463,-1.0,-1.0
2022-01-11,465.86,380.97,74.08,360.74,468.65,385.08,71.36,362.08,93307539.8,102236790.5,74302461.0909091,73711947.2,82153579.5,51432059.63636363,16480123.4,18086159.0,11244386.704545455,6803626.8,6949048.0,4937218.818181818,-0.03,-0.01,0,-0.06,-0.01,0,0.08,-0.01,0,-0.02,-0.01,0,466,-1.0,-1.0
2022-01-12,471.42,387.36,70.24,364.1,470.29,386.87,70.84,362.31,93931316.6,92887714.33333333,74293052.83333333,75744365.6,77489285.66666667,52826112.833333336,17038868.45,16436714.416666666,11402173.25,7173358.4,7069648.666666667,5135021.416666667,-0.02,0.0,0,-0.02,0.01,0,-0.01,-0.08,0,-0.02,0.0,0,472,-1.0,-1.0
2022-01-13,471.65,387.85,70.28,364.02,466.84,380.1,72.98,362.6,86552817.4,87051331.33333333,73778390.61538461,71523749.4,71465419.66666667,52958301.538461536,15289230.3,15683309.083333334,11357202.25,6544386.6,6631940.0,5085647.076923077,0.0,0.02,0,0.01,0.03,0,-0.08,-0.09,0,-0.01,0.0,0,472,-1.0,-1.0
2022-01-14,460.88,373.88,76.88,358.56,462.065,377.66,75.56,357.44,87480637.6,77643202.33333333,75018334.21428572,72998277.0,66894742.0,54745491.571428575,14981094.65,12911051.75,11601529.214285715,6424040.6,6074035.666666667,5180822.428571428,0.0,0.0,0,-0.0,-0.0,0,-0.06,-0.01,0,0.0,0.01,0,461,-1.0,-1.0
2022-01-18,460.15,374.35,76.72,356.17,457.7,372.38,77.68,354.61,82205138.75,95890948.0,76409841.8,70191483.75,80081709.0,56434572.733333334,15097677.6875,21657555.5,12271930.966666667,6699379.75,8575412.0,5407128.4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,461,-1.0,-1.0
2022-01-19,458.18,372.69,77.32,354.85,454.7905,369.62,79.12,352.06,91120554.75,102871087.0,78499928.3125,72012019.5,77762275.0,57622589.5,16137858.625,19478052.25,12586094.59375,6914953.5,8374278.5,5580004.4375,-0.03,-0.01,0,-0.04,-0.0,0,0.11,0.01,0,-0.03,-0.01,0,459,-1.0,-1.0
