Volume,Volume Weighted,Open Price,Close Price,Highest Price,Lowest Price,Timestamp,Number of Transaction,Stock Name,Strike,Strike Date,Stock Close Price
6879,1.9704,1.76,2.27,2.28,1.69,2024-03-18 13:30:00,1170,SPY,513,2024-03-18,514.71
2164,2.1936,2.28,1.98,2.35,1.97,2024-03-18 13:35:00,341,SPY,513,2024-03-18,514.27
1644,2.1707,1.99,2.04,2.29,1.99,2024-03-18 13:40:00,190,SPY,513,2024-03-18,514.38
858,2.0008,2.1,1.87,2.23,1.81,2024-03-18 13:45:00,184,SPY,513,2024-03-18,514.19
655,1.8321,1.94,1.8,1.98,1.73,2024-03-18 13:50:00,117,SPY,513,2024-03-18,514.12
1204,1.7385,1.82,1.67,1.87,1.64,2024-03-18 13:55:00,156,SPY,513,2024-03-18,513.835
1681,1.7493,1.68,1.84,1.87,1.67,2024-03-18 14:00:00,186,SPY,513,2024-03-18,514.18
1139,1.9692,1.8,2.14,2.16,1.71,2024-03-18 14:05:00,213,SPY,513,2024-03-18,514.63
1633,2.2513,2.15,2.14,2.39,2.09,2024-03-18 14:10:00,222,SPY,513,2024-03-18,514.6601
351,2.2323,2.17,2.29,2.4,2.14,2024-03-18 14:15:00,84,SPY,513,2024-03-18,514.88
741,2.372,2.33,2.58,2.58,2.24,2024-03-18 14:20:00,104,SPY,513,2024-03-18,515.24
506,2.6092,2.59,2.53,2.75,2.45,2024-03-18 14:25:00,117,SPY,513,2024-03-18,515.18
296,2.3886,2.57,2.39,2.57,2.25,2024-03-18 14:30:00,57,SPY,513,2024-03-18,515.03
105,2.4684,2.31,2.42,2.55,2.31,2024-03-18 14:35:00,31,SPY,513,2024-03-18,515.1
142,2.4621,2.41,2.26,2.54,2.26,2024-03-18 14:40:00,33,SPY,513,2024-03-18,514.945
257,2.2606,2.28,2.5,2.51,2.17,2024-03-18 14:45:00,44,SPY,513,2024-03-18,515.13
135,2.4114,2.45,2.38,2.45,2.33,2024-03-18 14:50:00,17,SPY,513,2024-03-18,515.055
198,2.3947,2.38,2.45,2.45,2.31,2024-03-18 14:55:00,27,SPY,513,2024-03-18,515.14
558,2.3908,2.5,2.3,2.52,2.22,2024-03-18 15:00:00,36,SPY,513,2024-03-18,514.92
282,2.2333,2.17,2.32,2.37,2.17,2024-03-18 15:05:00,34,SPY,513,2024-03-18,514.95
222,2.0448,2.22,2.04,2.24,1.98,2024-03-18 15:10:00,56,SPY,513,2024-03-18,514.625
685,1.8986,2.04,1.96,2.04,1.79,2024-03-18 15:15:00,62,SPY,513,2024-03-18,514.49
210,2.0329,1.92,2.04,2.07,1.9,2024-03-18 15:20:00,25,SPY,513,2024-03-18,514.63
153,1.9929,2.02,2.07,2.07,1.94,2024-03-18 15:25:00,20,SPY,513,2024-03-18,514.68
709,1.7831,2.0,1.68,2.0,1.64,2024-03-18 15:30:00,79,SPY,513,2024-03-18,514.16
203,1.7918,1.66,1.9,1.93,1.64,2024-03-18 15:35:00,60,SPY,513,2024-03-18,514.44
94,1.852,1.88,1.89,1.96,1.81,2024-03-18 15:40:00,16,SPY,513,2024-03-18,514.49
96,1.8262,1.95,1.78,1.98,1.71,2024-03-18 15:45:00,27,SPY,513,2024-03-18,514.3
811,1.6355,1.81,1.6,1.81,1.53,2024-03-18 15:50:00,75,SPY,513,2024-03-18,514.065
278,1.6634,1.57,1.73,1.75,1.57,2024-03-18 15:55:00,46,SPY,513,2024-03-18,514.225
487,1.512,1.69,1.5,1.69,1.45,2024-03-18 16:00:00,79,SPY,513,2024-03-18,513.9011
596,1.5639,1.44,1.64,1.68,1.44,2024-03-18 16:05:00,94,SPY,513,2024-03-18,514.11
504,1.786,1.6,1.84,1.88,1.6,2024-03-18 16:10:00,65,SPY,513,2024-03-18,514.475
140,1.7873,1.84,1.78,1.84,1.69,2024-03-18 16:15:00,29,SPY,513,2024-03-18,514.36
69,1.7464,1.79,1.71,1.79,1.66,2024-03-18 16:20:00,21,SPY,513,2024-03-18,514.225
609,1.6137,1.7,1.69,1.73,1.56,2024-03-18 16:25:00,40,SPY,513,2024-03-18,514.17
251,1.5587,1.67,1.52,1.67,1.5,2024-03-18 16:30:00,62,SPY,513,2024-03-18,514.0493
164,1.5216,1.51,1.55,1.59,1.5,2024-03-18 16:35:00,27,SPY,513,2024-03-18,514.04
538,1.6154,1.56,1.7,1.7,1.47,2024-03-18 16:40:00,49,SPY,513,2024-03-18,514.2498
89,1.601,1.67,1.5,1.67,1.5,2024-03-18 16:45:00,31,SPY,513,2024-03-18,513.94
3464,1.3185,1.49,1.34,1.52,1.23,2024-03-18 16:50:00,247,SPY,513,2024-03-18,513.69
1604,1.271,1.34,1.25,1.34,1.21,2024-03-18 16:55:00,134,SPY,513,2024-03-18,513.5134
1485,1.2496,1.23,1.21,1.35,1.19,2024-03-18 17:00:00,168,SPY,513,2024-03-18,513.47
1827,1.3552,1.2,1.34,1.41,1.19,2024-03-18 17:05:00,205,SPY,513,2024-03-18,513.71
920,1.2862,1.33,1.3,1.36,1.24,2024-03-18 17:10:00,93,SPY,513,2024-03-18,513.69
1263,1.2731,1.31,1.29,1.31,1.21,2024-03-18 17:15:00,82,SPY,513,2024-03-18,513.69
3433,1.4335,1.32,1.51,1.51,1.32,2024-03-18 17:20:00,306,SPY,513,2024-03-18,514.025
1725,1.5229,1.51,1.59,1.61,1.43,2024-03-18 17:25:00,160,SPY,513,2024-03-18,514.2
1408,1.4991,1.62,1.4,1.64,1.35,2024-03-18 17:30:00,161,SPY,513,2024-03-18,513.9001
1916,1.1956,1.35,1.14,1.38,1.1,2024-03-18 17:35:00,217,SPY,513,2024-03-18,513.47
1383,1.0895,1.13,1.13,1.17,1.04,2024-03-18 17:40:00,202,SPY,513,2024-03-18,513.48
1283,1.1304,1.1,1.2,1.2,1.05,2024-03-18 17:45:00,196,SPY,513,2024-03-18,513.67
1758,1.1951,1.21,1.14,1.26,1.08,2024-03-18 17:50:00,201,SPY,513,2024-03-18,513.53
1194,1.2403,1.13,1.3,1.32,1.08,2024-03-18 17:55:00,142,SPY,513,2024-03-18,513.8
1149,1.3121,1.3,1.3,1.36,1.2,2024-03-18 18:00:00,144,SPY,513,2024-03-18,513.85
977,1.2707,1.32,1.35,1.38,1.18,2024-03-18 18:05:00,138,SPY,513,2024-03-18,513.92
1602,1.3941,1.36,1.3,1.49,1.27,2024-03-18 18:10:00,194,SPY,513,2024-03-18,513.845
714,1.3563,1.29,1.43,1.45,1.29,2024-03-18 18:15:00,62,SPY,513,2024-03-18,514.05
818,1.3559,1.44,1.39,1.45,1.26,2024-03-18 18:20:00,121,SPY,513,2024-03-18,514.0
1299,1.5496,1.37,1.64,1.65,1.37,2024-03-18 18:25:00,147,SPY,513,2024-03-18,514.3402
746,1.607,1.65,1.55,1.65,1.48,2024-03-18 18:30:00,58,SPY,513,2024-03-18,514.255
573,1.5494,1.57,1.51,1.65,1.45,2024-03-18 18:35:00,44,SPY,513,2024-03-18,514.201
2666,1.1042,1.45,1.09,1.45,0.97,2024-03-18 18:40:00,252,SPY,513,2024-03-18,513.53
2353,1.0811,1.09,1.16,1.17,0.98,2024-03-18 18:45:00,178,SPY,513,2024-03-18,513.7312
989,1.1281,1.14,1.15,1.2,1.08,2024-03-18 18:50:00,111,SPY,513,2024-03-18,513.705
1134,1.1331,1.14,1.18,1.22,1.04,2024-03-18 18:55:00,99,SPY,513,2024-03-18,513.79
779,1.1472,1.15,1.14,1.21,1.08,2024-03-18 19:00:00,88,SPY,513,2024-03-18,513.775
2726,1.2974,1.15,1.32,1.4,1.06,2024-03-18 19:05:00,228,SPY,513,2024-03-18,514.04
619,1.312,1.29,1.27,1.38,1.22,2024-03-18 19:10:00,95,SPY,513,2024-03-18,513.995
375,1.2993,1.27,1.34,1.37,1.25,2024-03-18 19:15:00,70,SPY,513,2024-03-18,514.09
349,1.28,1.34,1.19,1.36,1.19,2024-03-18 19:20:00,70,SPY,513,2024-03-18,513.911
638,1.1578,1.21,1.15,1.24,1.08,2024-03-18 19:25:00,122,SPY,513,2024-03-18,513.855
1793,1.2023,1.16,1.24,1.29,1.08,2024-03-18 19:30:00,197,SPY,513,2024-03-18,514.055
1863,1.1036,1.23,0.97,1.25,0.96,2024-03-18 19:35:00,451,SPY,513,2024-03-18,513.7
1059,0.9799,0.97,0.99,1.02,0.89,2024-03-18 19:40:00,163,SPY,513,2024-03-18,513.78
1334,0.9566,0.94,0.94,1.07,0.88,2024-03-18 19:45:00,105,SPY,513,2024-03-18,513.68
7533,0.5885,0.89,0.45,0.89,0.43,2024-03-18 19:50:00,437,SPY,513,2024-03-18,512.7885
16514,0.4193,0.46,0.38,0.54,0.27,2024-03-18 19:55:00,588,SPY,513,2024-03-18,512.87
16282,1.3917,1.22,1.61,1.63,1.13,2024-03-18 13:30:00,2238,SPY,514,2024-03-18,514.71
3876,1.5316,1.61,1.35,1.68,1.35,2024-03-18 13:35:00,739,SPY,514,2024-03-18,514.27
2680,1.4997,1.36,1.38,1.62,1.36,2024-03-18 13:40:00,451,SPY,514,2024-03-18,514.38
3070,1.3409,1.45,1.24,1.56,1.21,2024-03-18 13:45:00,545,SPY,514,2024-03-18,514.19
2172,1.2458,1.27,1.22,1.34,1.15,2024-03-18 13:50:00,422,SPY,514,2024-03-18,514.12
4667,1.1536,1.22,1.09,1.26,1.05,2024-03-18 13:55:00,611,SPY,514,2024-03-18,513.835
6038,1.1675,1.08,1.23,1.25,1.08,2024-03-18 14:00:00,741,SPY,514,2024-03-18,514.18
7304,1.3713,1.23,1.44,1.47,1.11,2024-03-18 14:05:00,1069,SPY,514,2024-03-18,514.63
6499,1.536,1.45,1.46,1.67,1.42,2024-03-18 14:10:00,948,SPY,514,2024-03-18,514.6601
2138,1.551,1.46,1.58,1.67,1.44,2024-03-18 14:15:00,336,SPY,514,2024-03-18,514.88
2742,1.6574,1.59,1.8,1.81,1.55,2024-03-18 14:20:00,424,SPY,514,2024-03-18,515.24
3231,1.8579,1.82,1.77,1.98,1.71,2024-03-18 14:25:00,582,SPY,514,2024-03-18,515.18
1102,1.6855,1.79,1.61,1.81,1.53,2024-03-18 14:30:00,212,SPY,514,2024-03-18,515.03
1020,1.6898,1.63,1.69,1.78,1.57,2024-03-18 14:35:00,145,SPY,514,2024-03-18,515.1
450,1.6607,1.69,1.57,1.77,1.54,2024-03-18 14:40:00,100,SPY,514,2024-03-18,514.945
1041,1.5842,1.59,1.71,1.74,1.47,2024-03-18 14:45:00,204,SPY,514,2024-03-18,515.13
376,1.6373,1.7,1.64,1.72,1.58,2024-03-18 14:50:00,69,SPY,514,2024-03-18,515.055
299,1.6433,1.64,1.71,1.71,1.54,2024-03-18 14:55:00,77,SPY,514,2024-03-18,515.14
1369,1.5979,1.75,1.57,1.77,1.49,2024-03-18 15:00:00,153,SPY,514,2024-03-18,514.92
998,1.5199,1.52,1.57,1.63,1.44,2024-03-18 15:05:00,167,SPY,514,2024-03-18,514.95
1378,1.3701,1.57,1.37,1.57,1.3,2024-03-18 15:10:00,190,SPY,514,2024-03-18,514.625
2855,1.2504,1.37,1.26,1.37,1.15,2024-03-18 15:15:00,298,SPY,514,2024-03-18,514.49
2424,1.3364,1.26,1.33,1.38,1.21,2024-03-18 15:20:00,231,SPY,514,2024-03-18,514.63
1587,1.3059,1.35,1.37,1.38,1.23,2024-03-18 15:25:00,151,SPY,514,2024-03-18,514.68
