Volume,Volume Weighted,Open Price,Close Price,Highest Price,Lowest Price,Timestamp,Number of Transaction,Stock Name,Strike
1,32.51,32.51,32.51,32.51,32.51,2024-03-18 17:55:00,1,SPY,481
9,29.86,29.86,29.86,29.86,29.86,2024-03-18 19:55:00,2,SPY,483
2,27.75,27.75,27.75,27.75,27.75,2024-03-18 17:55:00,1,SPY,486
8,26.75,26.75,26.75,26.75,26.75,2024-03-18 17:55:00,1,SPY,487
34,24.91,24.91,24.91,24.91,24.91,2024-03-18 19:55:00,2,SPY,488
8,24.65,24.65,24.65,24.65,24.65,2024-03-18 13:30:00,1,SPY,490
2,24.5,24.5,24.5,24.5,24.5,2024-03-18 13:35:00,1,SPY,490
2,24.0,24.0,24.0,24.0,24.0,2024-03-18 13:55:00,1,SPY,490
2,24.98,24.98,24.98,24.98,24.98,2024-03-18 14:45:00,2,SPY,490
2,25.0,25.0,25.0,25.0,25.0,2024-03-18 14:55:00,1,SPY,490
2,24.0,24.0,24.0,24.0,24.0,2024-03-18 15:50:00,1,SPY,490
2,21.83,21.83,21.83,21.83,21.83,2024-03-18 14:10:00,1,SPY,493
1,19.46,19.46,19.46,19.46,19.46,2024-03-18 13:35:00,1,SPY,495
2,19.61,19.61,19.61,19.61,19.61,2024-03-18 13:40:00,1,SPY,495
1,19.86,19.86,19.86,19.86,19.86,2024-03-18 14:10:00,1,SPY,495
1,19.94,19.94,19.94,19.94,19.94,2024-03-18 14:20:00,1,SPY,495
1,19.55,19.55,19.55,19.55,19.55,2024-03-18 15:25:00,1,SPY,495
2,16.72,16.58,16.86,16.86,16.58,2024-03-18 13:30:00,2,SPY,497
1,17.44,17.44,17.44,17.44,17.44,2024-03-18 13:35:00,1,SPY,497
1,17.41,17.41,17.41,17.41,17.41,2024-03-18 14:05:00,1,SPY,497
1,17.78,17.78,17.78,17.78,17.78,2024-03-18 14:10:00,1,SPY,497
1,18.0,18.0,18.0,18.0,18.0,2024-03-18 14:15:00,1,SPY,497
363,16.07,16.07,16.07,16.07,16.07,2024-03-18 19:10:00,2,SPY,498
5,14.6,14.6,14.6,14.6,14.6,2024-03-18 19:55:00,1,SPY,498
1,14.26,14.26,14.26,14.26,14.26,2024-03-18 13:30:00,1,SPY,499
1,15.61,15.61,15.61,15.61,15.61,2024-03-18 13:35:00,1,SPY,499
6,13.69,13.69,13.69,13.69,13.69,2024-03-18 19:55:00,1,SPY,499
17,13.9494,13.7,14.65,14.65,13.43,2024-03-18 13:30:00,9,SPY,500
9,14.8278,14.75,14.8,14.85,14.75,2024-03-18 13:35:00,3,SPY,500
20,14.65,14.65,14.65,14.65,14.65,2024-03-18 13:40:00,1,SPY,500
3,15.0067,14.92,15.1,15.1,14.92,2024-03-18 14:20:00,3,SPY,500
5,14.94,14.94,14.94,14.94,14.94,2024-03-18 14:55:00,1,SPY,500
1,14.38,14.38,14.38,14.38,14.38,2024-03-18 15:35:00,1,SPY,500
1,14.0,14.0,14.0,14.0,14.0,2024-03-18 19:05:00,1,SPY,500
1,13.24,13.24,13.24,13.24,13.24,2024-03-18 19:50:00,1,SPY,500
45,12.882,12.83,12.89,12.89,12.83,2024-03-18 19:55:00,2,SPY,500
2,13.95,13.95,13.95,13.95,13.95,2024-03-18 14:15:00,2,SPY,501
1,14.21,14.21,14.21,14.21,14.21,2024-03-18 14:20:00,1,SPY,501
1,14.3,14.3,14.3,14.3,14.3,2024-03-18 14:25:00,1,SPY,501
2,13.98,13.98,13.98,13.98,13.98,2024-03-18 14:35:00,1,SPY,501
1,13.8,13.8,13.8,13.8,13.8,2024-03-18 15:05:00,1,SPY,501
5,12.93,12.93,12.93,12.93,12.93,2024-03-18 17:20:00,1,SPY,501
10,13.01,13.01,13.01,13.01,13.01,2024-03-18 19:30:00,1,SPY,501
18,11.8767,11.71,11.91,11.91,11.71,2024-03-18 19:55:00,2,SPY,501
8,12.3787,11.58,12.65,12.65,11.58,2024-03-18 13:30:00,5,SPY,502
1,12.49,12.49,12.49,12.49,12.49,2024-03-18 13:35:00,1,SPY,502
1,13.0,13.0,13.0,13.0,13.0,2024-03-18 14:15:00,1,SPY,502
2,13.075,13.05,13.1,13.1,13.05,2024-03-18 14:20:00,2,SPY,502
4,13.45,13.45,13.45,13.45,13.45,2024-03-18 14:25:00,1,SPY,502
1,13.12,13.12,13.12,13.12,13.12,2024-03-18 15:00:00,1,SPY,502
4,12.38,12.38,12.38,12.38,12.38,2024-03-18 16:10:00,1,SPY,502
4,12.32,12.32,12.32,12.32,12.32,2024-03-18 16:15:00,1,SPY,502
4,11.68,11.68,11.68,11.68,11.68,2024-03-18 16:55:00,1,SPY,502
5,11.92,11.92,11.92,11.92,11.92,2024-03-18 17:20:00,1,SPY,502
4,11.93,11.93,11.93,11.93,11.93,2024-03-18 17:25:00,1,SPY,502
4,11.85,11.85,11.85,11.85,11.85,2024-03-18 19:25:00,1,SPY,502
2,10.83,10.83,10.83,10.83,10.83,2024-03-18 19:55:00,1,SPY,502
99,11.2667,11.17,11.67,11.7,11.17,2024-03-18 13:30:00,10,SPY,503
100,11.5995,11.55,11.6,11.6,11.55,2024-03-18 13:40:00,5,SPY,503
5,11.56,11.56,11.56,11.56,11.56,2024-03-18 13:45:00,1,SPY,503
14,10.9714,10.98,10.92,10.98,10.92,2024-03-18 13:55:00,2,SPY,503
1,11.96,11.96,11.96,11.96,11.96,2024-03-18 14:55:00,1,SPY,503
3,11.28,11.28,11.28,11.28,11.28,2024-03-18 15:30:00,1,SPY,503
1,11.41,11.41,11.41,11.41,11.41,2024-03-18 15:35:00,1,SPY,503
28,11.0664,11.08,11.07,11.08,11.05,2024-03-18 16:35:00,3,SPY,503
1,10.81,10.81,10.81,10.81,10.81,2024-03-18 18:40:00,1,SPY,503
8,11.09,11.09,11.09,11.09,11.09,2024-03-18 19:20:00,3,SPY,503
1,10.9,10.9,10.9,10.9,10.9,2024-03-18 19:30:00,1,SPY,503
4,10.3775,10.25,10.65,10.65,10.11,2024-03-18 13:30:00,4,SPY,504
7,10.48,10.6,10.3,10.6,10.3,2024-03-18 13:35:00,4,SPY,504
99,10.62,10.62,10.62,10.62,10.62,2024-03-18 13:40:00,4,SPY,504
6,10.2567,10.25,10.29,10.29,10.25,2024-03-18 14:05:00,2,SPY,504
1,10.91,10.91,10.91,10.91,10.91,2024-03-18 14:20:00,1,SPY,504
1,11.0,11.0,11.0,11.0,11.0,2024-03-18 14:35:00,1,SPY,504
1,10.0,10.0,10.0,10.0,10.0,2024-03-18 18:20:00,1,SPY,504
1,9.95,9.95,9.95,9.95,9.95,2024-03-18 19:35:00,1,SPY,504
1,9.72,9.72,9.72,9.72,9.72,2024-03-18 19:45:00,1,SPY,504
34,8.68,8.68,8.68,8.68,8.68,2024-03-18 19:55:00,1,SPY,504
38,9.4547,9.0,9.7,9.71,8.89,2024-03-18 13:30:00,14,SPY,505
17,9.6106,9.72,9.65,9.72,9.46,2024-03-18 13:35:00,5,SPY,505
10,9.6,9.6,9.6,9.6,9.6,2024-03-18 13:40:00,2,SPY,505
4,9.15,9.12,9.15,9.18,9.12,2024-03-18 13:45:00,3,SPY,505
1,8.99,8.99,8.99,8.99,8.99,2024-03-18 13:55:00,1,SPY,505
1,8.97,8.97,8.97,8.97,8.97,2024-03-18 14:00:00,1,SPY,505
1,9.85,9.85,9.85,9.85,9.85,2024-03-18 14:10:00,1,SPY,505
2,10.0,10.0,10.0,10.0,10.0,2024-03-18 14:15:00,1,SPY,505
