Volume,Volume Weighted,Open Price,Close Price,Highest Price,Lowest Price,Timestamp,Number of Transaction,Stock Name
7510.0,487.7942,487.7,487.81,487.86,487.5,2024-01-29 09:00:00,69,SPY
673.0,487.8255,487.8,487.94,487.94,487.79,2024-01-29 09:05:00,11,SPY
1265.0,487.7939,487.79,487.79,487.79,487.79,2024-01-29 09:10:00,25,SPY
2115.0,487.6452,487.63,487.65,487.7,487.63,2024-01-29 09:15:00,50,SPY
3256.0,487.4898,487.54,487.44,487.54,487.44,2024-01-29 09:20:00,35,SPY
4761.0,487.3803,487.39,487.42,487.44,487.36,2024-01-29 09:25:00,62,SPY
4035.0,487.4936,487.48,487.55,487.55,487.48,2024-01-29 09:30:00,70,SPY
2580.0,487.5679,487.63,487.5,487.63,487.5,2024-01-29 09:35:00,56,SPY
1036.0,487.3269,487.42,487.24,487.42,487.17,2024-01-29 09:40:00,17,SPY
1161.0,487.3445,487.27,487.37,487.37,487.27,2024-01-29 09:45:00,9,SPY
1412.0,487.2809,487.34,487.23,487.34,487.23,2024-01-29 09:50:00,21,SPY
514.0,487.2346,487.23,487.24,487.24,487.23,2024-01-29 09:55:00,5,SPY
605.0,487.4037,487.4,487.41,487.41,487.4,2024-01-29 10:05:00,6,SPY
549.0,487.4202,487.45,487.37,487.45,487.37,2024-01-29 10:10:00,7,SPY
134.0,487.5197,487.53,487.53,487.53,487.53,2024-01-29 10:20:00,4,SPY
904.0,487.5622,487.55,487.58,487.58,487.55,2024-01-29 10:25:00,8,SPY
992.0,487.5521,487.58,487.49,487.58,487.49,2024-01-29 10:35:00,14,SPY
148.0,487.5789,487.58,487.58,487.58,487.58,2024-01-29 10:40:00,5,SPY
412.0,487.6778,487.67,487.68,487.68,487.67,2024-01-29 10:50:00,4,SPY
218.0,487.5633,487.56,487.56,487.56,487.56,2024-01-29 10:55:00,3,SPY
400.0,487.69,487.69,487.69,487.69,487.69,2024-01-29 11:00:00,2,SPY
178.0,487.6104,487.61,487.61,487.61,487.61,2024-01-29 11:05:00,3,SPY
1356.0,487.573,487.57,487.6,487.6,487.57,2024-01-29 11:10:00,15,SPY
1476.0,487.6291,487.59,487.66,487.66,487.59,2024-01-29 11:15:00,13,SPY
1126.0,487.7004,487.66,487.75,487.75,487.66,2024-01-29 11:20:00,8,SPY
1967.0,487.7625,487.8,487.73,487.81,487.71,2024-01-29 11:25:00,11,SPY
449.0,487.7658,487.78,487.77,487.78,487.75,2024-01-29 11:30:00,8,SPY
1745.0,487.7779,487.78,487.73,487.79,487.73,2024-01-29 11:35:00,12,SPY
6668.0,487.7103,487.7,487.74,487.74,487.7,2024-01-29 11:40:00,57,SPY
810.0,487.7301,487.73,487.73,487.73,487.73,2024-01-29 11:45:00,6,SPY
